height_cm,weight_kg
142,40
145,46
147,43
148,50
150,45
150,52
152,48
153,55
154,50
155,58
156,54
157,60
158,52
159,63
160,55
160,68
161,62
162,58
163,65
164,70
165,60
165,75
166,68
167,72
168,65
168,78
169,70
170,62
170,80
171,74
172,68
173,82
174,76
175,70
175,88
176,82
177,74
178,90
179,85
180,78
180,95
181,88
182,92
183,85
184,98
185,90
186,105
187,92
188,110
189,98
190,115
191,102
192,120
193,108
194,125
195,112
196,130
197,118
198,135
200,140
155,42
165,48
175,60
185,72
190,65
160,95
170,45
180,120
